review_id,target
3,8
4,8
13,8
14,0
17,8
23,"0,8"
24,8
26,0
34,"1,8"
36,0
39,0
40,8
46,0
50,"0,8"
52,8
60,8
61,8
62,8
70,0
72,"0,8"
75,0
77,0
78,8
80,8
83,8
85,0
86,0
88,8
89,8
94,0
97,0
102,0
103,8
107,"5,8"
108,8
112,8
120,0
126,8
129,8
130,0
131,8
136,0
140,0
142,0
155,0
162,8
165,0
166,8
175,8
178,8
180,8
182,8
188,8
190,8
193,8
194,8
197,0
204,0
207,8
210,8
212,8
217,8
218,0
219,8
222,0
223,8
225,0
235,8
242,8
245,8
246,0
247,8
251,8
255,"0,8"
256,8
267,0
268,8
269,0
282,8
286,8
287,8
294,0
303,8
307,8
310,8
312,8
313,"0,8"
319,8
320,8
326,8
332,"0,8"
334,0
340,0
341,8
343,8
344,8
345,0
349,8
350,8
353,0
354,0
358,8
360,0
361,0
366,0
376,8
380,8
382,8
384,0
386,8
387,8
390,0
392,8
397,"0,8"
398,0
399,0
403,8
409,8
417,0
421,8
424,8
430,8
432,8
433,8
436,8
437,8
440,8
441,8
444,"1,8"
448,0
451,0
452,8
462,8
463,0
466,8
467,0
469,0
471,1
477,0
492,0
494,8
496,3
498,8
500,8
506,0
509,8
516,8
520,0
521,8
527,8
532,8
534,8
555,0
559,0
564,0
567,0
571,0
577,0
583,0
586,0
588,0
589,8
594,8
598,"1,8"
601,8
603,8
615,8
617,8
619,0
625,0
627,0
629,0
631,8
637,0
640,8
642,8
650,8
652,8
656,8
657,0
673,0
681,"1,8"
691,8
695,0
700,8
703,"1,8"
705,0
712,0
716,0
719,0
726,0
728,8
729,8
733,8
734,0
736,8
737,0
743,8
746,0
753,"0,8"
756,0
758,8
759,8
764,8
766,0
767,8
775,0
779,0
780,8
782,0
789,6
794,8
795,8
796,0
797,0
798,8
799,3
801,0
802,8
803,8
804,"0,8"
805,0
807,8
809,8
810,8
813,8
815,0
826,8
832,8
834,8
837,0
838,0
840,0
847,8
852,0
853,8
854,8
856,8
857,8
860,0
865,0
866,8
869,8
872,8
873,8
877,8
879,"0,8"
887,8
889,0
894,0
904,8
908,8
911,0
914,"6,8"
918,0
919,0
924,8
926,8
929,8
934,8
935,8
937,8
938,0
939,8
947,8
956,8
959,8
964,8
967,8
969,0
974,8
977,8
979,8
981,8
983,"0,8"
987,8
990,8
993,0
999,8
1001,0
1004,0
1014,8
1020,8
1032,"1,8"
1034,0
1035,0
1036,8
1053,8
1063,0
1064,8
1068,"1,8"
1074,0
1077,8
1080,8
1082,8
1090,8
1094,0
1095,8
1096,8
1100,8
1102,0
1110,8
1112,8
1115,8
1118,0
1119,8
1120,8
1123,3
1126,8
1135,8
1138,"0,8"
1139,0
1140,8
1149,8
1153,8
1157,0
1159,0
1160,0
1162,0
1163,8
1165,0
1168,0
1171,0
1172,0
1183,0
1184,0
1185,8
1186,8
1189,0
1190,"0,8"
1192,8
1195,8
1201,8
1205,8
1213,8
1217,8
1218,0
1223,8
1226,8
1228,0
1229,8
1240,0
1244,8
1245,0
1253,8
1255,8
1256,0
1261,0
1264,8
1269,8
1271,0
1273,0
1275,0
1278,0
1280,0
1281,8
1288,0
1289,8
1294,8
1295,8
1298,3
1301,8
1303,0
1304,0
1316,0
1319,8
1320,8
1323,8
1326,8
1340,3
1341,8
1350,8
1354,"1,8"
1355,0
1356,8
1359,8
1364,8
1366,0
1367,8
1368,8
1369,"0,8"
1370,0
1379,8
1384,8
1387,0
1388,"0,8"
1390,"1,8"
1393,"0,8"
1396,8
1398,0
1401,0
1402,"0,8"
1403,0
1408,8
1416,8
1417,0
1419,8
1422,8
1423,8
1425,0
1426,8
1427,8
1433,0
1434,"3,8"
1439,8
1442,0
1445,8
1448,0
1451,8
1461,8
1463,8
1464,8
1465,8
1467,8
1472,0
1474,8
1478,8
1481,8
1486,0
1493,"0,8"
1500,8
1506,8
1507,8
1511,0
1514,8
1517,8
1525,8
1526,"1,8"
1528,8
1530,8
1536,8
1539,0
1542,8
1546,0
1547,8
1550,8
1551,0
1554,0
1555,8
1563,8
1567,0
1570,8
1572,8
1577,8
1578,0
1579,0
1583,8
1590,8
1591,0
1593,"1,8"
1599,0
1601,8
1610,"0,8"
1612,0
1616,0
1617,8
1618,8
1625,8
1627,8
1630,8
1632,0
1637,0
1640,8
1641,0
1645,0
1649,0
1653,8
1656,0
1660,8
1663,0
1666,"0,8"
1667,8
1669,0
1678,0
1679,0
1682,8
1687,0
1697,0
1700,0
1702,"0,8"
1703,8
1706,8
1709,8
